Unique ID	Card Unique ID	Card Name	Card Pitch	Status Active	Date Announced	Date In Effect	Legality Article
LDnrPtTN9dzCQrhwnKt8z	PFJnMWQNfr6jMMzJhjB9H	Bravo, Star of the Show		Yes	2022-06-24T00:00:00.000Z	2022-06-24T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement-june-2022/
GjJLF8cJkwpwdf68kgQFp	MhBTRHCCft7RbrMmkwwGw	Chane, Bound by Shadow		Yes	2022-06-24T00:00:00.000Z	2022-06-24T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement-june-2022/
JchW8rpMgHwfkwdpkKqbn	r8Bq8zBCNdzGPkmMcr6QL	Galaxxi Black		Yes	2022-06-24T00:00:00.000Z	2022-06-24T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement-june-2022/
DgWD9pDz7mNkhgmPznkrg	F7rQpTDjHFWPgQhcGg7RT	Prism, Sculptor of Arc Light		Yes	2022-08-29T00:00:00.000Z	2022-08-30T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announced/
wtjFb6JncgRT8nHh8jG7q	TQ7Twhtm6zfkTTHTKdpJK	Luminaris		Yes	2022-08-29T00:00:00.000Z	2022-08-30T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announced/
F8hkJPgGgFwnKJBJqWQNR	bh96L8jp69mNpjcGRCDbj	Oldhim, Grandfather of Eternity		Yes	2023-07-03T00:00:00.000Z	2023-07-07T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-suspended-announcement-july-3/
DJ9cDct8L6Gw6MMM8bWPH	pCdJMzmgBMD8Mt8qhM7nC	Winter's Wail		Yes	2023-07-03T00:00:00.000Z	2023-07-07T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-suspended-announcement-july-3/
jqqjbGPPfCGwJ8f8cgqMK	cjDzkKdjNrGqL9tnDc7zd	Briar, Warden of Thorns		Yes	2023-09-18T00:00:00.000Z	2023-09-22T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement-sep19-23/
QKtfhJRtPwdHzQwK6DHPM	cbHrfwmLrMjWdhdBtzbff	Rosetta Thorn		Yes	2023-09-18T00:00:00.000Z	2023-09-22T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement-sep19-23/
CwzJdB8zKBpFH9zHNdjBp	PFmgFK9dFr8q6PrpJFpPG	Lexi, Livewire		Yes	2023-11-06T00:00:00.000Z	2023-11-06T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-suspended-announcement-nov6/
rfPGqRfkRcrMBDJtQ8Wt8	Nzpgn9HrbNfkzM8CkwCQp	Voltaire, Strike Twice		Yes	2023-11-06T00:00:00.000Z	2023-11-06T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-suspended-announcement-nov6/
cHqrTrfHqJ6QBgPHmTmLN	8KRCDf6drqhFMKK7hJhbM	Iyslander, Stormbind		Yes	2023-11-27T00:00:00.000Z	2023-12-01T00:00:00.000Z	https://fabtcg.com/articles/living-legends-iyslander-stormbind-kano-and-kassai-cintari-sellsword/
qmNMPTgzDDBM7NrDCgLg6	Cd6PTGH6CqTHmt7LQmBMp	Kraken's Aethervein		Yes	2023-11-27T00:00:00.000Z	2023-12-01T00:00:00.000Z	https://fabtcg.com/articles/living-legends-iyslander-stormbind-kano-and-kassai-cintari-sellsword/
DL86WczHKr6CPTHnrMPpd	PrJkWBKNgtNdzhqhWLGFw	Dromai, Ash Artist		Yes	2024-04-16T00:00:00.000Z	2024-04-19T00:00:00.000Z	https://fabtcg.com/articles/living-legend-dromai-ash-artist/
HnL6PPNN7gc7kMrq6MnH9	PQm7zFjBPCzc68JDd8D6z	Storm of Sandikai		Yes	2024-04-16T00:00:00.000Z	2024-04-19T00:00:00.000Z	https://fabtcg.com/articles/living-legend-dromai-ash-artist/
CGR8WQmTGbpqdbk7M6jRW	TKbRWjjBLJThMmLkTFb6q	Viserai, Rune Blood		Yes	2025-02-25T00:00:00.000Z	2025-02-28T00:00:00.000Z	https://fabtcg.com/en/articles/living-legend-viserai-rune-blood/
BtMPktjQt6Gw9WPjH8QQ7	RWwk8hgBdnRdWfjkrfJHt	Nebula Blade		Yes	2025-02-25T00:00:00.000Z	2025-02-28T00:00:00.000Z	https://fabtcg.com/en/articles/living-legend-viserai-rune-blood/
Rjw6mtCjWFwk6fz8FmwK6	tJhRRN9kkMCnGQdQJ8TWg	Enigma, Ledger of Ancestry		Yes	2025-04-21T00:00:00.000Z	2025-04-25T00:00:00.000Z	https://fabtcg.com/en/articles/living-legend-enigma-ledger-of-ancestry-and-zen-tamer-of-purpose/
dnfmnMttKpbkpcBDbqW8w	zMC89pqnzTP7bkmfjmTzQ	Cosmo, Scroll of Ancestral Tapestry		Yes	2025-04-21T00:00:00.000Z	2025-04-25T00:00:00.000Z	https://fabtcg.com/en/articles/living-legend-enigma-ledger-of-ancestry-and-zen-tamer-of-purpose/
jgCDjdPFwPcMRjtccjMnt	GDbCgdDrFKCWWthrgD6h6	Zen, Tamer of Purpose		Yes	2025-04-21T00:00:00.000Z	2025-04-25T00:00:00.000Z	https://fabtcg.com/en/articles/living-legend-enigma-ledger-of-ancestry-and-zen-tamer-of-purpose/
GmCfb8mdqpJfTmppQKbjd	M7nPGBJMNj6tbtDgzMNqc	Tiger Taming Khakkara		Yes	2025-04-21T00:00:00.000Z	2025-04-25T00:00:00.000Z	https://fabtcg.com/en/articles/living-legend-enigma-ledger-of-ancestry-and-zen-tamer-of-purpose/
kpNjBpL8L7zk9NHTBMnnG	mHBtPppktRTkWpnf69dHj	Aurora, Shooting Star		Yes	2025-05-06T00:00:00.000Z	2025-05-09T00:00:00.000Z	https://fabtcg.com/en/articles/living-legend-aurora-shooting-star/
RhCdfdjTK6rRwBhGJpbMn	m7NGBRdNftTh9ntBzppbB	Star Fall		Yes	2025-05-06T00:00:00.000Z	2025-05-09T00:00:00.000Z	https://fabtcg.com/en/articles/living-legend-aurora-shooting-star/
